Search Bias Report - Wed Aug 14 2024

Search Query: Donald Trump
Campaign Website: 

Position,Google,Bing,Duck Duck Go,Tusk
1,"=HYPERLINK(""https://en.wikipedia.org/wiki/Donald_Trump"",""Donald Trump"")","=HYPERLINK(""https://en.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump - Wikipedia"")","=HYPERLINK(""https://en.wikipedia.org/wiki/Donald_Trump"",""Donald Trump - Wikipedia"")","=HYPERLINK(""https://en.wikipedia.org/wiki/Donald_Trump"",""Donald Trump - Wikipedia"")"
2,"=HYPERLINK(""https://trumpwhitehouse.archives.gov/people/donald-j-trump/"",""Donald J. Trump – The White House - National Archives"")","=HYPERLINK(""https://apnews.com/hub/donald-trump"",""Donald Trump | Breaking News & Latest Updates | AP News"")","=HYPERLINK(""https://apnews.com/hub/donald-trump"",""Donald Trump | Breaking News & Latest Updates | AP News"")","=HYPERLINK(""https://www.donaldjtrump.com/"",""Donald J. Trump For President 2024"")"
3,"=HYPERLINK(""https://m.facebook.com/DonaldTrump/"",""Donald J. Trump"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump"",""Donald Trump News: Latest on the 2024 presidential candidate"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump"",""Donald Trump News: Latest on the 2024 presidential candidate"")","=HYPERLINK(""https://twitter.com/realdonaldtrump"",""Donald J. Trump (@realDonaldTrump) / X"")"
4,"=HYPERLINK(""https://www.trump.com/leadership/donald-j-trump-biography"",""Donald J. Trump Official Biography"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-indictment-court-appearance-06-13-23/index.html"",""June 13, 2023 Trump pleads not guilty in historic federal indictmen…"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-indictment-court-appearance-06-13-23/index.html"",""June 13, 2023 Trump pleads not guilty in historic federal indictment - CNN"")","=HYPERLINK(""https://www.spiegel.de/thema/donald_trump/"",""Donald Trump - DER SPIEGEL"")"
5,"=HYPERLINK(""https://www.instagram.com/realdonaldtrump/?hl=en"",""President Donald J. Trump (@realdonaldtrump)"")","=HYPERLINK(""https://www.politico.com/news/donald-trump"",""Donald Trump: Latest News, Top Stories & Analysis - POLITICO"")","=HYPERLINK(""https://www.politico.com/news/donald-trump"",""Donald Trump: Latest News, Top Stories & Analysis - POLITICO"")","=HYPERLINK(""https://trumpwhitehouse.archives.gov/people/donald-j-trump/"",""Donald J. Trump – The White House"")"
6,"=HYPERLINK(""https://twitter.com/realdonaldtrump?lang=en"",""Donald J. Trump (@realDonaldTrump) / X"")","=HYPERLINK(""https://www.nytimes.com/live/2023/08/01/us/trump-indictment-jan-6"",""Trump Indictment: Jan. 6 Riot Was ‘Fueled by Lies’ From Trump, Spec…"")","=HYPERLINK(""https://www.usatoday.com/story/news/politics/elections/2024/08/12/donald-trump-elon-musk-interview-x/74764422007/"",""Donald Trump, Elon Musk interview: Start time, how to stream on X"")","=HYPERLINK(""https://www.facebook.com/DonaldTrump/"",""Donald J. Trump"")"
7,"=HYPERLINK(""https://thehill.com/opinion/4825893-trump-campaign-spiral/"",""Trump's campaign is spiraling. Voters just want it to end."")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/live-updates-trump-indictment-classified-documents-rcna88494"",""Trump indictment: Former president faces 37 counts in docs case - NB…"")","=HYPERLINK(""https://www.nytimes.com/live/2023/08/01/us/trump-indictment-jan-6"",""Trump Indictment: Jan. 6 Riot Was 'Fueled by Lies' From Trump, Special ..."")","=HYPERLINK(""https://www.zeit.de/thema/donald-trump"",""Donald Trump: News zum ehemaligen US-Präsidenten | ZEIT ONLINE"")"
8,"=HYPERLINK(""https://abcnews.go.com/alerts/donald--trump"",""Donald Trump News & Videos - ABC News"")","=HYPERLINK(""https://www.nytimes.com/live/2023/06/08/us/trump-indictment-documents"",""Trump Indicted Trump Is Charged in Classified Documents Inquiry"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/live-updates-trump-indictment-classified-documents-rcna88494"",""Trump indictment: Former president faces 37 counts in docs case - NBC News"")","=HYPERLINK(""https://apnews.com/hub/donald-trump"",""Donald Trump | Breaking News & Latest Updates | AP News"")"
9,"=HYPERLINK(""https://www.aljazeera.com/tag/donald-trump/"",""Donald Trump | Today's latest from Al Jazeera"")","=HYPERLINK(""https://www.npr.org/live-updates/trump-grand-jury-indictment-jan-6"",""Donald Trump indicted on four counts in 2020 election probe: live ..."")","=HYPERLINK(""https://www.nytimes.com/live/2023/06/08/us/trump-indictment-documents"",""Trump Indicted Trump Is Charged in Classified Documents Inquiry"")","=HYPERLINK(""https://www.faz.net/aktuell/politik/thema/donald-trump"",""Donald Trump News aktuell: Nachrichten von heute zum Ex-Präsidenten der USA | FAZ"")"
10,"=HYPERLINK(""https://www.cnbc.com/donald-trump/"",""Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump | CNN Politics"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-grand-jury-indictment-rcna96233"",""Trump faces new charges in classified docs superseding indictment"")","=HYPERLINK(""https://www.newyorker.com/tag/donald-trump"",""Donald Trump | The New Yorker"")"
11,"=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump"",""Donald Trump News: Latest on the 2024 presidential candidate"")","=HYPERLINK(""https://www.britannica.com/biography/Donald-Trump"",""Donald Trump | Biography, Education, Business Career, Political Career ..."")","=HYPERLINK(""https://www.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump | CNN Politics"")","=HYPERLINK(""https://www.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump news - breaking news, video, headlines and analysis | CNN Politics"")"
12,"=HYPERLINK(""https://www.theguardian.com/us-news/donaldtrump"",""Donald Trump"")","=HYPERLINK(""https://hu.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipédia"")","=HYPERLINK(""https://www.npr.org/live-updates/trump-indictment-grand-jury-docs"",""Live Updates: Donald Trump indicted by a grand jury in the ... - NPR"")","=HYPERLINK(""https://www.handelsblatt.com/themen/donald-trump"",""Donald Trump-News"")"
13,"=HYPERLINK(""https://apnews.com/article/harris-trump-honesty-discipline-immigration-ap-poll-f025463df08beacbaa0c51e7bbb7eda7"",""Americans see Kamala Harris as more honest than Trump: AP-NORC poll"")","=HYPERLINK(""https://vi.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipedia tiếng Việt"")","=HYPERLINK(""https://www.npr.org/live-updates/trump-grand-jury-indictment-jan-6"",""Donald Trump indicted on four counts in 2020 election probe: live ..."")","=HYPERLINK(""https://www.fr.de/politik/donald-trump-per32650/"",""Donald Trump - Alle News zum ehemaligen US-Präsidenten | FR.de"")"
14,"=HYPERLINK(""https://www.wsj.com/topics/person/donald-trump"",""Donald Trump - WSJ Spotlight Coverage, Recent News"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-new-york-court-arraignment-04-04-23/index.html"",""April 4, 2023 Trump indictment news | CNN Politics"")","=HYPERLINK(""https://www.reuters.com/world/us/donald-trump/"",""Latest Donald Trump News | Top Headlines on Donald Trump | Reuters"")","=HYPERLINK(""https://www.whitehouse.gov/about-the-white-house/presidents/donald-j-trump/"",""Donald J. Trump | The White House"")"
15,"=HYPERLINK(""https://www.independent.co.uk/topic/donald-trump"",""Trump news | Latest updates | Trial news | 2024 election"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-court-charges-04-05-23/index.html"",""April 5, 2023 The latest on Trump’s historic indictment"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-court-charges-04-05-23/index.html"",""April 5, 2023 The latest on Trump's historic indictment"")","=HYPERLINK(""https://www.stern.de/lifestyle/leute/themen/donald-trump-4540962.html"",""Donald Trump | STERN.de"")"
16,"=HYPERLINK(""https://www.reuters.com/world/us/donald-trump/"",""Latest Donald Trump News | Top Headlines on ..."")","=HYPERLINK(""https://www.facebook.com/DonaldTrump/"",""Donald J. Trump - Facebook"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-trial-jury-deliberations-hush-money-case-rcna154607"",""Donald Trump found guilty on all 34 felony counts in hush money trial ..."")","=HYPERLINK(""https://www.theguardian.com/us-news/donaldtrump"",""Donald Trump | The Guardian"")"
17,"=HYPERLINK(""https://www.newyorker.com/tag/donald-trump"",""Donald Trump"")","=HYPERLINK(""https://www.history.com/topics/us-presidents/donald-trump"",""Donald Trump: Presidency, Family, Education | HISTORY"")","=HYPERLINK(""https://www.nytimes.com/2024/07/14/us/politics/trump-shooting-social-media.html"",""The Attempt to Kill Donald Trump, Caught in Real Time, Stuns the ..."")","=HYPERLINK(""https://www.independent.co.uk/topic/donald-trump"",""Trump news | Latest updates | Trial news | 2024 election | The Independent"")"
18,"=HYPERLINK(""https://www.nytimes.com/spotlight/donald-trump"",""Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-indictment-documents-06-12-23/index.html"",""June 12, 2023, news on Donald Trump’s federal indictment - CNN"")","=HYPERLINK(""https://www.bbc.co.uk/news/live/world-us-canada-65167017"",""As it happened: Donald Trump indictment live: Ex-president slams case ..."")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump"",""Donald Trump News: Latest on the 2024 presidential candidate | NBC News"")"
19,"=HYPERLINK(""https://www.huffpost.com/news/topic/donald-trump"",""Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-legal-developments-03-23-23/index.html"",""Live updates: Donald Trump’s latest legal news | CNN Politics"")","=HYPERLINK(""https://projects.fivethirtyeight.com/polls/favorability/donald-trump/"",""Donald Trump : Favorability Polls | FiveThirtyEight"")","=HYPERLINK(""https://apnews.com/article/donald-trump-elon-musk-x-twitter-livestream-83d6d07fc0ffef4151c96fc56aeec9ee"",""Trump and Musk talk about assassination attempt and deportations during glitchy chat on X"")"
20,"=HYPERLINK(""https://www.trump.com/"",""The Trump Organization | Luxury Real Estate Portfolio"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/trump-indicted-jan-6-grand-jury-2020-election-rcna95199"",""Special counsel charges Trump with conspiracy to defraud the U.S."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-indictment-documents-06-12-23/index.html"",""June 12, 2023, news on Donald Trump's federal indictment - CNN"")","=HYPERLINK(""https://www.youtube.com/watch?v=Be8oEavJAa8"",""Pennsylvania SWAT team speaks out about assassination attempt on former President Donald Trump - YouTube"")"
21,"=HYPERLINK(""https://www.washingtonpost.com/donald-trump/"",""Donald Trump - The Washington Post"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump/live-blog/trump-indictment-live-updates-former-presidents-arraignment-expected-t-rcna77705"",""Trump arraigned, arrested on 34 felony counts in hush money case ..."")","=HYPERLINK(""https://www.newsweek.com/topic/donald-trump"",""Donald Trump news & latest pictures from Newsweek.com"")","=HYPERLINK(""https://www.theguardian.com/us-news/donaldtrump"",""Donald Trump | The Guardian"")"
22,"=HYPERLINK(""https://truthsocial.com/@realDonaldTrump"",""Donald J. Trump (@realDonaldTrump)"")","=HYPERLINK(""https://www.nytimes.com/live/2023/06/13/us/trump-indictment-arraignment-court"",""Trump Arraignment Trump Pleads Not Guilty in Documents Case"")","=HYPERLINK(""https://apnews.com/article/donald-trump-elon-musk-x-twitter-livestream-83d6d07fc0ffef4151c96fc56aeec9ee"",""Donald Trump returns to X for interview with Elon Musk after tech delay ..."")","=HYPERLINK(""https://www.independent.co.uk/topic/donald-trump"",""Trump news | Latest updates | Trial news | 2024 election | The Independent"")"
23,"=HYPERLINK(""https://www.foxnews.com/category/person/donald-trump"",""Donald Trump News, Articles & Latest Updates"")","=HYPERLINK(""https://www.npr.org/live-updates/trump-grand-jury-indictment-jan-6"",""Donald Trump indicted on four counts in 2020 election probe: live ..."")","=HYPERLINK(""https://www.usatoday.com/story/news/politics/elections/2024/08/12/x-interview-elon-musk-donald-trump/74771640007/"",""Elon Musk chats up Donald Trump amid X's tech glitches - USA TODAY"")","=HYPERLINK(""https://www.nbcnews.com/politics/donald-trump"",""Donald Trump News: Latest on the 2024 presidential candidate | NBC News"")"
24,"=HYPERLINK(""https://www.ft.com/donald-trump"",""Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/president-donald-trump-45"",""Donald J. Trump | CNN Politics"")","=HYPERLINK(""https://www.nytimes.com/spotlight/donald-trump"",""Donald Trump - The New York Times"")","=HYPERLINK(""https://apnews.com/article/donald-trump-elon-musk-x-twitter-livestream-83d6d07fc0ffef4151c96fc56aeec9ee"",""Trump and Musk talk about assassination attempt and deportations during glitchy chat on X"")"
25,"=HYPERLINK(""https://www.newsweek.com/topic/donald-trump"",""Donald Trump news & latest pictures from Newsweek.com"")","=HYPERLINK(""https://www.britannica.com/biography/Donald-Trump"",""Donald Trump | Biography, Education, Business Career, Political Career ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-legal-developments-03-23-23/index.html"",""Live updates: Donald Trump's latest legal news | CNN Politics"")","=HYPERLINK(""https://www.youtube.com/watch?v=Be8oEavJAa8"",""Pennsylvania SWAT team speaks out about assassination attempt on former President Donald Trump - YouTube"")"
26,"=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-rally-harris-election-08-14-24/index.html"",""The latest on the 2024 presidential campaign"")","=HYPERLINK(""https://hu.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipédia"")","=HYPERLINK(""https://www.britannica.com/biography/Donald-Trump"",""Donald Trump | Biography, Education, Business Career, Political Career ..."")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-rally-harris-election-08-14-24/index.html"",""Live updates: Trump speaks in North Carolina; Harris continues push for 2024 presidency | CNN Politics"")"
27,"=HYPERLINK(""https://www.youtube.com/channel/UCAql2DyGU2un1Ei2nMYsqOA"",""Donald J Trump"")","=HYPERLINK(""https://vi.m.wikipedia.org/wiki/Donald_Trump"",""Donald Trump – Wikipedia tiếng Việt"")","=HYPERLINK(""https://www.cnn.com/2024/08/13/business/uaw-trump-musk-charges/index.html"",""UAW files federal labor charges against Donald Trump and Elon Musk ..."")","=HYPERLINK(""https://www.nbcnews.com/politics/2024-election/live-blog/trump-biden-rnc-election-live-updates-rcna161404"",""Shooter in Trump assassination attempt identified; spectator killed in attack"")"
28,"=HYPERLINK(""https://www.vox.com/donald-trump"",""Donald Trump"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-new-york-court-arraignment-04-04-23/index.html"",""April 4, 2023 Trump indictment news | CNN Politics"")","=HYPERLINK(""https://www.history.com/topics/us-presidents/donald-trump"",""Donald Trump: Presidency, Family, Education | HISTORY"")","=HYPERLINK(""https://www.youtube.com/watch?v=9rrhaqq5KJI"",""EEUU | Así le dispararon a DONALD TRUMP ..."")"
29,"=HYPERLINK(""https://www.usatoday.com/news/politics/donald-trump/"",""Donald Trump: Latest news and information"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/donald-trump-court-charges-04-05-23/index.html"",""April 5, 2023 The latest on Trump’s historic indictment"")","=HYPERLINK(""https://www.nytimes.com/live/2023/04/04/nyregion/trump-arrest-arraignment"",""Donald Trump's Arraignment - The New York Times"")","=HYPERLINK(""https://apnews.com/article/trump-harris-news-conference-florida-election-2024-94b590ddf0434d9ea7b1241396dbbcc6"",""Trump recommits to a Sept. 10 debate and lashes out at Harris at news conference"")"
30,"=HYPERLINK(""https://www.theguardian.com/commentisfree/article/2024/aug/14/trump-harris-election-campaign"",""Donald Trump is desperate to land a punch on Kamala Harris. But he ..."")","=HYPERLINK(""https://www.facebook.com/DonaldTrump/"",""Donald J. Trump - Facebook"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/trump-arraignment-january-6-indictment/index.html"",""August 3, 2023 Trump arraignment, not guilty plea | CNN Politics"")","=HYPERLINK(""https://www.cnn.com/politics/live-news/election-biden-trump-07-13-24/index.html"",""July 13, 2024, coverage of the Trump assassination attempt | CNN Politics"")"
